signal_type,count,avg_return_6d(%),median_return_6d(%),win_rate_6d(%),avg_return_12d(%),median_return_12d(%),win_rate_12d(%),avg_return_24d(%),median_return_24d(%),win_rate_24d(%)
RSI 약세 다이버전스,21610,0.04,0.02,50.3,0.16,0.09,51.6,0.39,0.24,52.7
일목구름대 하단 터치,19829,0.18,0.15,53.2,0.32,0.24,53.7,0.72,0.47,54.9
SMA120 터치,18776,0.17,0.14,53.4,0.28,0.27,54.1,0.62,0.48,55.2
일목구름대 상단 터치,17521,0.16,0.13,52.9,0.29,0.24,53.8,0.53,0.39,54.2
RSI 강세 다이버전스,14296,0.2,0.17,53.6,0.37,0.28,54.3,0.71,0.62,56.4
SMA200 터치,13765,0.15,0.13,52.9,0.26,0.23,53.4,0.57,0.34,53.6
일목구름대 상방 돌파,12497,-0.02,-0.02,49.5,0.09,0.06,50.9,0.45,0.19,51.9
일목구름대 하방 돌파,10426,0.45,0.26,55.5,0.6,0.38,55.3,1.04,0.62,56.0
볼린저밴드 스퀴즈 진입,8507,0.13,0.11,52.4,0.27,0.21,53.2,0.63,0.43,54.6
RSI 과매수 진입,8487,0.07,0.01,50.0,0.22,0.12,52.0,0.44,0.33,53.5
RSI 과매도 진입,5747,0.44,0.26,55.4,0.6,0.45,55.9,0.93,0.86,58.0
볼린저밴드 스퀴즈 해제(상방),2432,-0.02,0.03,50.6,0.18,0.09,51.3,0.48,0.26,53.6
볼린저밴드 스퀴즈 해제(하방),2121,0.37,0.23,55.4,0.56,0.47,55.7,0.99,0.85,57.3
골든크로스 발생,1407,0.13,0.13,53.1,0.21,0.3,54.6,0.52,0.48,56.0
데드크로스 발생,1407,0.33,0.29,57.7,0.42,0.42,56.8,0.78,0.55,56.2
