ticker,signal_type,direction,signal_date,entry_date,entry_price,stop_price,target_price,outcome,exit_date,exit_price,days_held,r_multiple
AAPL,RSI 과매도 진입,bullish,2023-09-07 12:00:00-04:00,2023-09-07 16:00:00-04:00,177.56,174.9,182.89,stop,2023-09-07 16:00:00-04:00,174.9,0,-1.0
AAPL,RSI 과매도 진입,bullish,2023-09-08 04:00:00-04:00,2023-09-08 08:00:00-04:00,177.35,174.69,182.67,target,2023-09-11 16:00:00-04:00,182.67,6,2.0
AAPL,RSI 과매도 진입,bullish,2023-09-13 12:00:00-04:00,2023-09-13 16:00:00-04:00,174.2,171.59,179.43,stop,2023-09-13 16:00:00-04:00,171.59,0,-1.0
AAPL,RSI 과매도 진입,bullish,2023-10-23 04:00:00-04:00,2023-10-23 08:00:00-04:00,170.96,168.4,176.09,stop,2023-10-23 16:00:00-04:00,168.4,2,-1.0
AAPL,RSI 과매도 진입,bullish,2023-10-25 16:00:00-04:00,2023-10-26 04:00:00-04:00,168.13,165.61,173.17,stop,2023-10-26 16:00:00-04:00,165.61,3,-1.0
AAPL,RSI 과매도 진입,bullish,2023-10-26 08:00:00-04:00,2023-10-26 12:00:00-04:00,166.29,163.8,171.28,stop,2023-10-26 16:00:00-04:00,163.8,1,-1.0
AAPL,RSI 과매도 진입,bullish,2024-01-02 03:00:00-05:00,2024-01-02 07:00:00-05:00,188.92,186.09,194.59,stop,2024-01-02 07:00:00-05:00,186.09,0,-1.0
AAPL,RSI 과매도 진입,bullish,2024-01-31 07:00:00-05:00,2024-01-31 11:00:00-05:00,185.72,182.93,191.29,stop,2024-01-31 15:00:00-05:00,182.93,1,-1.0
AAPL,RSI 과매도 진입,bullish,2024-02-01 15:00:00-05:00,2024-02-02 03:00:00-05:00,182.99,180.25,188.48,stop,2024-02-02 07:00:00-05:00,180.25,1,-1.0
AAPL,RSI 과매도 진입,bullish,2024-03-01 07:00:00-05:00,2024-03-01 11:00:00-05:00,178.25,175.58,183.6,stop,2024-03-01 15:00:00-05:00,175.58,1,-1.0
AAPL,RSI 과매도 진입,bullish,2024-03-04 07:00:00-05:00,2024-03-04 11:00:00-05:00,174.82,172.2,180.06,stop,2024-03-04 15:00:00-05:00,172.2,1,-1.0
AAPL,RSI 과매도 진입,bullish,2024-04-19 08:00:00-04:00,2024-04-19 12:00:00-04:00,164.37,161.9,169.3,stop,2024-04-19 16:00:00-04:00,161.9,1,-1.0
AAPL,RSI 과매도 진입,bullish,2024-08-05 04:00:00-04:00,2024-08-05 08:00:00-04:00,204.27,201.21,210.4,stop,2024-08-05 08:00:00-04:00,201.21,0,-1.0
AAPL,RSI 과매도 진입,bullish,2024-10-31 16:00:00-04:00,2024-11-01 04:00:00-04:00,222.81,219.47,229.49,stop,2024-11-01 16:00:00-04:00,219.47,3,-1.0
AAPL,RSI 과매도 진입,bullish,2024-11-04 03:00:00-05:00,2024-11-04 07:00:00-05:00,221.06,217.74,227.69,stop,2024-11-04 15:00:00-05:00,217.74,2,-1.0
AAPL,RSI 과매도 진입,bullish,2025-01-02 07:00:00-05:00,2025-01-02 11:00:00-05:00,244.91,241.24,252.26,target,2025-01-02 15:00:00-05:00,252.26,1,2.0
AAPL,RSI 과매도 진입,bullish,2025-01-10 07:00:00-05:00,2025-01-10 11:00:00-05:00,233.77,230.26,240.78,target,2025-01-13 03:00:00-05:00,240.78,2,2.0
AAPL,RSI 과매도 진입,bullish,2025-01-13 03:00:00-05:00,2025-01-13 07:00:00-05:00,234.3,230.79,241.33,stop,2025-01-13 07:00:00-05:00,230.79,0,-1.0
AAPL,RSI 과매도 진입,bullish,2025-01-21 07:00:00-05:00,2025-01-21 11:00:00-05:00,220.09,216.79,226.69,target,2025-01-21 15:00:00-05:00,226.69,1,2.0
AAPL,RSI 과매도 진입,bullish,2025-03-05 07:00:00-05:00,2025-03-05 11:00:00-05:00,230.62,227.16,237.54,target,2025-03-05 15:00:00-05:00,237.54,1,2.0
AAPL,RSI 과매도 진입,bullish,2025-03-10 08:00:00-04:00,2025-03-10 12:00:00-04:00,225.54,222.16,232.31,stop,2025-03-10 16:00:00-04:00,222.16,1,-1.0
AAPL,RSI 과매도 진입,bullish,2025-03-11 08:00:00-04:00,2025-03-11 12:00:00-04:00,218.54,215.26,225.1,stop,2025-03-11 16:00:00-04:00,215.26,1,-1.0
AAPL,RSI 과매도 진입,bullish,2025-03-12 08:00:00-04:00,2025-03-12 12:00:00-04:00,218.45,215.17,225.0,stop,2025-03-12 12:00:00-04:00,215.17,0,-1.0
AAPL,RSI 과매도 진입,bullish,2025-03-17 08:00:00-04:00,2025-03-17 12:00:00-04:00,211.21,208.04,217.55,stop,2025-03-17 16:00:00-04:00,208.04,1,-1.0
AAPL,RSI 과매도 진입,bullish,2025-04-02 16:00:00-04:00,2025-04-03 04:00:00-04:00,211.53,208.36,217.88,stop,2025-04-03 04:00:00-04:00,208.36,0,-1.0
AAPL,RSI 과매도 진입,bullish,2025-05-21 12:00:00-04:00,2025-05-21 16:00:00-04:00,202.04,199.01,208.11,stop,2025-05-21 16:00:00-04:00,199.01,0,-1.0
AAPL,RSI 과매도 진입,bullish,2025-07-30 12:00:00-04:00,2025-07-30 16:00:00-04:00,209.05,205.91,215.32,stop,2025-07-30 16:00:00-04:00,205.91,0,-1.0
AAPL,RSI 과매도 진입,bullish,2025-07-31 12:00:00-04:00,2025-07-31 16:00:00-04:00,207.61,204.5,213.84,stop,2025-07-31 16:00:00-04:00,204.5,0,-1.0
AAPL,RSI 과매도 진입,bullish,2025-08-01 08:00:00-04:00,2025-08-01 12:00:00-04:00,202.76,199.72,208.84,stop,2025-08-01 16:00:00-04:00,199.72,1,-1.0
